competition,event,race,code,date,position,nationality,time,crew
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H4,01/06/2018,2,GER2,07:10.7,"ZEIDLER, Oliver"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H4,01/06/2018,3,USA,07:17.4,"GRAVES, John"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H4,01/06/2018,4,GER1,07:19.7,"APPEL, Max"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H4,01/06/2018,5,KOR,07:25.9,"KIM, Dongyong"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H4,01/06/2018,6,HUN1,07:44.0,"PETERVARI-MOLNAR, Bendeguz"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H5,01/06/2018,1,SUI2,07:16.5,"ROEOESLI, Roman"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H5,01/06/2018,2,SUI1,07:19.7,"STAHLBERG, Nico"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H5,01/06/2018,3,HUN2,07:23.0,"PAPP, Gergely"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H5,01/06/2018,4,BLR2,07:24.1,"SHCHARBACHENIA, Stanislau"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H5,01/06/2018,5,SLO,07:37.3,"ALJANCIC, Miha"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H6,01/06/2018,1,CUB,07:18.8,"FOURNIER RODRIGUEZ, Angel"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H6,01/06/2018,2,SWE,07:20.7,"BACKEUS, Anders"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H6,01/06/2018,3,FIN1,07:25.0,"VEN, Robert"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H6,01/06/2018,4,UKR,07:34.2,"LUKIANENKO, Oleksandr"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Heat,H6,01/06/2018,5,EST,07:49.6,"SUURSILD, Geir"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FA,03/06/2018,1,CZE,06:44.8,"SYNEK, Ondrej"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FA,03/06/2018,2,SUI2,06:45.6,"ROEOESLI, Roman"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FA,03/06/2018,3,GER2,06:46.2,"ZEIDLER, Oliver"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FA,03/06/2018,4,DEN,06:52.7,"NIELSEN, Sverri"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FA,03/06/2018,5,SRB2,06:54.4,"VASIC, Milos"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FA,03/06/2018,6,CUB,06:55.1,"FOURNIER RODRIGUEZ, Angel"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FB,03/06/2018,1,BLR1,06:48.8,"MIHAL, Dzianis"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FB,03/06/2018,2,RUS1,06:50.8,"RYABCEV, Vladislav"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FB,03/06/2018,3,NOR,06:51.1,"BORCH, Kjetil"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FB,03/06/2018,4,SUI1,06:51.7,"STAHLBERG, Nico"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FB,03/06/2018,5,GER1,06:53.3,"APPEL, Max"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FB,03/06/2018,6,SWE,06:54.0,"BACKEUS, Anders"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FC,02/06/2018,1,CAN,07:17.3,"BUIE, Matthew"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FC,02/06/2018,2,GBR,07:23.7,"LEASK, Harry"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FC,02/06/2018,3,FIN1,07:27.4,"VEN, Robert"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FC,02/06/2018,4,SRB3,07:27.8,"FILIPOVIC, Aleksandar"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FC,02/06/2018,5,BLR2,07:30.2,"SHCHARBACHENIA, Stanislau"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FC,02/06/2018,6,BUL,00:00.0,"YOTOV, Boris"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FD,02/06/2018,1,USA,07:09.5,"GRAVES, John"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FD,02/06/2018,2,LTU1,07:11.9,"GRISKONIS, Mindaugas"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FD,02/06/2018,3,ESP2,07:19.6,"PRADA FERNANDEZ, David"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FD,02/06/2018,4,UKR,07:21.1,"LUKIANENKO, Oleksandr"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FD,02/06/2018,5,HUN2,07:28.6,"PAPP, Gergely"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FD,02/06/2018,6,SRB1,00:00.0,"MARJANOVIC, Marko"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FE,02/06/2018,1,LTU2,06:52.0,"GALISANSKIS, Zygimantas"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FE,02/06/2018,2,ISR,06:59.3,"FRIDMAN, Dani"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FE,02/06/2018,3,MEX,07:01.0,"CABRERA, Juan Carlos"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FE,02/06/2018,4,KOR,07:01.5,"KIM, Dongyong"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FE,02/06/2018,5,SLO,07:08.6,"ALJANCIC, Miha"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FE,02/06/2018,6,FIN2,07:13.3,"NAUKKARINEN, Joel"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FF,02/06/2018,1,ESP1,07:05.8,"PADILLA, Ruben"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FF,02/06/2018,2,EST,07:08.3,"SUURSILD, Geir"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FF,02/06/2018,3,RUS2,07:16.3,"MIKHAYLEVSKIY, Viacheslav"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Final,FF,02/06/2018,4,HUN1,00:00.0,"PETERVARI-MOLNAR, Bendeguz"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q1,01/06/2018,1,RUS1,07:07.7,"RYABCEV, Vladislav"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q1,01/06/2018,2,GER1,07:10.0,"APPEL, Max"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q1,01/06/2018,3,CZE,07:15.8,"SYNEK, Ondrej"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q1,01/06/2018,4,FIN1,07:17.2,"VEN, Robert"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q1,01/06/2018,5,ESP2,07:25.4,"PRADA FERNANDEZ, David"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q1,01/06/2018,6,LTU1,07:54.4,"GRISKONIS, Mindaugas"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q2,01/06/2018,1,NOR,07:10.0,"BORCH, Kjetil"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q2,01/06/2018,2,BLR1,07:12.9,"MIHAL, Dzianis"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q2,01/06/2018,3,SUI1,07:15.0,"STAHLBERG, Nico"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q2,01/06/2018,4,BUL,07:24.5,"YOTOV, Boris"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q2,01/06/2018,5,USA,07:30.9,"GRAVES, John"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q2,01/06/2018,6,SRB1,07:52.7,"MARJANOVIC, Marko"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q3,01/06/2018,1,SUI2,07:05.4,"ROEOESLI, Roman"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q3,01/06/2018,2,DEN,07:07.9,"NIELSEN, Sverri"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q3,01/06/2018,3,SWE,07:08.1,"BACKEUS, Anders"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q3,01/06/2018,4,GBR,07:10.6,"LEASK, Harry"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q3,01/06/2018,5,CAN,07:17.2,"BUIE, Matthew"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q3,01/06/2018,6,UKR,07:36.6,"LUKIANENKO, Oleksandr"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q4,01/06/2018,1,CUB,07:08.3,"FOURNIER RODRIGUEZ, Angel"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q4,01/06/2018,2,GER2,07:09.2,"ZEIDLER, Oliver"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q4,01/06/2018,3,SRB2,07:11.8,"VASIC, Milos"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q4,01/06/2018,4,SRB3,07:13.9,"FILIPOVIC, Aleksandar"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q4,01/06/2018,5,BLR2,07:16.9,"SHCHARBACHENIA, Stanislau"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Quarterfinal,Q4,01/06/2018,6,HUN2,07:17.9,"PAPP, Gergely"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 1,02/06/2018,1,CZE,06:46.0,"SYNEK, Ondrej"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 1,02/06/2018,2,DEN,06:46.6,"NIELSEN, Sverri"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 1,02/06/2018,3,GER2,06:47.4,"ZEIDLER, Oliver"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 1,02/06/2018,4,NOR,06:47.6,"BORCH, Kjetil"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 1,02/06/2018,5,SWE,06:55.3,"BACKEUS, Anders"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 1,02/06/2018,6,RUS1,06:56.6,"RYABCEV, Vladislav"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 2,02/06/2018,1,SUI2,06:45.5,"ROEOESLI, Roman"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 2,02/06/2018,2,CUB,06:47.0,"FOURNIER RODRIGUEZ, Angel"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 2,02/06/2018,3,SRB2,06:49.3,"VASIC, Milos"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 2,02/06/2018,4,SUI1,06:51.6,"STAHLBERG, Nico"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 2,02/06/2018,5,GER1,06:53.7,"APPEL, Max"
2018 World Rowing Cup I,M1x,Men's Single Sculls - Semifinal,SA/B 2,02/06/2018,6,BLR1,06:59.1,"MIHAL, Dzianis"
2018 World Rowing Cup I,PR1 M1x,PR1 Men's Single Sculls - Final,FA,02/06/2018,1,UKR,10:12.0,"POLIANSKYI, Roman"
2018 World Rowing Cup I,PR1 M1x,PR1 Men's Single Sculls - Final,FA,02/06/2018,2,GBR,10:30.8,"HOUGHTON, Andrew"
2018 World Rowing Cup I,PR1 M1x,PR1 Men's Single Sculls - Final,FA,02/06/2018,3,BEL,11:21.5,"TOUSSAINT, Louis"
2018 World Rowing Cup I,PR1 M1x,PR1 Men's Single Sculls - Final,FA,02/06/2018,4,HUN,11:24.2,"PETO, Zsolt"
2018 World Rowing Cup I,PR1 W1x,PR1 Women's Single Sculls - Final,FA,02/06/2018,1,NOR,11:17.3,"SKARSTEIN, Birgit"
2018 World Rowing Cup I,PR1 W1x,PR1 Women's Single Sculls - Final,FA,02/06/2018,2,UKR,13:32.4,"SHEREMET, Anna"
2018 World Rowing Cup I,PR2 Mix2x,PR2 Mixed Double Sculls - Final,FA,02/06/2018,1,NED,08:42.1,"VAN DER MEER, Annika; DE KONING, Corne"
2018 World Rowing Cup I,PR2 Mix2x,PR2 Mixed Double Sculls - Final,FA,02/06/2018,2,UKR,09:13.4,"BOHUSLAVSKA, Svitlana; KOIUDA, Iaroslav"
2018 World Rowing Cup I,PR2 Mix2x,PR2 Mixed Double Sculls - Final,FA,02/06/2018,1,NED,08:42.1,"VAN DER MEER, Annika; DE KONING, Corne"
2018 World Rowing Cup I,PR2 Mix2x,PR2 Mixed Double Sculls - Final,FA,02/06/2018,2,UKR,09:13.4,"BOHUSLAVSKA, Svitlana; KOIUDA, Iaroslav"
2018 World Rowing Cup I,PR2 Mix2x,PR2 Mixed Double Sculls - Final,X1,01/06/2018,1,NED,08:21.6,"VAN DER MEER, Annika; DE KONING, Corne"
2018 World Rowing Cup I,PR2 Mix2x,PR2 Mixed Double Sculls - Final,X1,01/06/2018,2,UKR,08:44.1,"BOHUSLAVSKA, Svitlana; KOIUDA, Iaroslav"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H1,01/06/2018,1,LTU,07:15.7,"VALCIUKAITE, Milda; ADOMAVICIUTE, Ieva"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H1,01/06/2018,2,BLR2,07:22.9,"KLIMOVICH, Tatsiana; STARASELETS, Krystina"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H1,01/06/2018,3,HUN,07:35.5,"PREIL, Vivien; HORVATH, Kitti"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H1,01/06/2018,4,KOR,07:40.7,"KIM, Seulgi; JI, Yoo Jin"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H1,01/06/2018,5,POR,07:53.2,"FIGUEIREDO, Claudia; BRANCO, Joana"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H2,01/06/2018,1,GER,07:16.3,"KAMPMANN, Franziska; NWAJIDE, Carlotta"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H2,01/06/2018,2,BLR1,07:18.8,"KARSTEN, Ekaterina; KUKHTA, Tatsiana"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H2,01/06/2018,3,FRA,07:21.1,"LEFEBVRE, Helene; JACQUET, Marie"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H2,01/06/2018,4,CHN2,07:36.8,"LI, Jingjing; LU, Shiyu"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H3,01/06/2018,1,NED,07:10.9,"DE JONG, Roos; SCHEENAARD, Lisa"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H3,01/06/2018,2,CHN1,07:16.9,"LYU, Yang; WANG, Yuwei"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H3,01/06/2018,3,IRL,07:20.4,"CROWLEY, Aileen; DUKARSKA, Monika"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H3,01/06/2018,4,SUI,07:23.8,"WALKER, Pascale; ROSSET, Valerie"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,03/06/2018,1,NED,06:47.7,"DE JONG, Roos; SCHEENAARD, Lisa"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,03/06/2018,2,GER,06:50.0,"KAMPMANN, Franziska; NWAJIDE, Carlotta"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,03/06/2018,3,LTU,06:50.9,"VALCIUKAITE, Milda; ADOMAVICIUTE, Ieva"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,03/06/2018,4,CHN1,06:53.6,"LYU, Yang; WANG, Yuwei"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,03/06/2018,5,BLR1,06:53.6,"KARSTEN, Ekaterina; KUKHTA, Tatsiana"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,03/06/2018,6,BLR2,07:02.6,"KLIMOVICH, Tatsiana; STARASELETS, Krystina"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FB,03/06/2018,1,SUI,06:58.8,"WALKER, Pascale; ROSSET, Valerie"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FB,03/06/2018,2,FRA,06:58.9,"LEFEBVRE, Helene; JACQUET, Marie"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FB,03/06/2018,3,IRL,07:03.8,"CROWLEY, Aileen; DUKARSKA, Monika"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FB,03/06/2018,4,HUN,07:13.8,"PREIL, Vivien; HORVATH, Kitti"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FB,03/06/2018,5,KOR,07:17.8,"KIM, Seulgi; JI, Yoo Jin"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Final,FB,03/06/2018,6,CHN2,00:00.0,"LI, Jingjing; LU, Shiyu"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Repechage,R1,01/06/2018,1,SUI,07:28.8,"WALKER, Pascale; ROSSET, Valerie"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Repechage,R1,01/06/2018,2,CHN2,07:32.4,"LI, Jingjing; LU, Shiyu"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Repechage,R1,01/06/2018,3,KOR,07:43.9,"KIM, Seulgi; JI, Yoo Jin"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Repechage,R1,01/06/2018,4,POR,07:49.8,"FIGUEIREDO, Claudia; BRANCO, Joana"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 1,02/06/2018,1,GER,07:14.9,"KAMPMANN, Franziska; NWAJIDE, Carlotta"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 1,02/06/2018,2,LTU,07:16.6,"VALCIUKAITE, Milda; ADOMAVICIUTE, Ieva"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 1,02/06/2018,3,CHN1,07:19.3,"LYU, Yang; WANG, Yuwei"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 1,02/06/2018,4,FRA,07:22.3,"LEFEBVRE, Helene; JACQUET, Marie"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 1,02/06/2018,5,SUI,07:37.4,"WALKER, Pascale; ROSSET, Valerie"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 1,02/06/2018,6,KOR,07:47.7,"KIM, Seulgi; JI, Yoo Jin"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 2,02/06/2018,1,NED,07:16.3,"DE JONG, Roos; SCHEENAARD, Lisa"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 2,02/06/2018,2,BLR1,07:18.7,"KARSTEN, Ekaterina; KUKHTA, Tatsiana"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 2,02/06/2018,3,BLR2,07:23.5,"KLIMOVICH, Tatsiana; STARASELETS, Krystina"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 2,02/06/2018,4,IRL,07:25.6,"CROWLEY, Aileen; DUKARSKA, Monika"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 2,02/06/2018,5,HUN,07:39.9,"PREIL, Vivien; HORVATH, Kitti"
2018 World Rowing Cup I,W2x,Women's Double Sculls - Semifinal,SA/B 2,02/06/2018,6,CHN2,07:42.4,"LI, Jingjing; LU, Shiyu"
2018 World Rowing Cup I,W8+,Women's Eight - Final,FA,03/06/2018,1,NED,06:07.2,"HOGERWERF, Elisabeth; OLDENBURG, Marloes; RUSTENBURG, Lies; VAN VEEN, Jose; CLEVERING, Ymkje; LANZ, Monica; JORRITSMA, Aletta; MEESTER, Veronique; FETTER, Dieuwke"
2018 World Rowing Cup I,W8+,Women's Eight - Final,FA,03/06/2018,2,GBR,06:11.1,"MERLOTT CHITTY, Anastasia; GIRLING, Rebecca; MCKELLAR, Rowan; TAYLOR, Harriet; BENNETT, Karen; NORTON, Holly; GAMMOND, Fiona; SHORTEN, Rebecca; HORN, Matilda"
2018 World Rowing Cup I,W8+,Women's Eight - Final,FA,03/06/2018,3,CHN1,06:14.8,"XU, Fei; WANG, Fei; YI, Liqin; JU, Rui; QIN, Miaomiao; MIAO, Tian; ZHANG, Min; GUO, Linlin; ZHANG, Xiaowen"
2018 World Rowing Cup I,W8+,Women's Eight - Final,FA,03/06/2018,4,CHN2,06:28.1,"LIN, Xinyu; ZHONG, Yanwei; WANG, Jie; XU, Xingye; HUANG, Kaifeng; LI, Yingying; CHEN, Jing; YIN, Shuo; ZHANG, Haonan"
2018 World Rowing Cup I,W4-,Women's Four - Heat,H1,01/06/2018,1,RUS,06:48.2,"POTAPOVA, Ekaterina; TIKHANOVA, Anastasia; SEVOSTIANOVA, Ekaterina; ORIABINSKAIA, Elena"
2018 World Rowing Cup I,W4-,Women's Four - Heat,H1,01/06/2018,2,NED2,06:49.5,"RUSTENBURG, Lies; VAN VEEN, Jose; CLEVERING, Ymkje; LANZ, Monica"
2018 World Rowing Cup I,W4-,Women's Four - Heat,H1,01/06/2018,3,DEN,06:54.8,"LARSEN, Anne; SANGGAARD NIELSEN, Frida; KEMPF, Marta; DAHL PEDERSEN, Trine"
2018 World Rowing Cup I,W4-,Women's Four - Heat,H1,01/06/2018,4,GBR1,07:00.4,"CHIN, Rebecca; MCMURTRY, Caragh; PARFETT, Sara; WRATTEN, Josephine"
2018 World Rowing Cup I,W4-,Women's Four - Heat,H1,01/06/2018,5,NED3,07:09.5,"VERBURGH, Marleen; BAS, Rosa; BRANDSMA, Lisanne; DRENTH, Hermijntje"
2018 World Rowing Cup I,W4-,Women's Four - Heat,H2,01/06/2018,1,NED1,06:50.0,"HOGERWERF, Elisabeth; OLDENBURG, Marloes; JORRITSMA, Aletta; MEESTER, Veronique"
2018 World Rowing Cup I,W4-,Women's Four - Heat,H2,01/06/2018,2,GBR2,06:53.6,"GAMMOND, Fiona; NORTON, Holly; BENNETT, Karen; SHORTEN, Rebecca"
2018 World Rowing Cup I,W4-,Women's Four - Heat,H2,01/06/2018,3,POL,07:01.6,"MICHALKIEWICZ, Olga; SOBIESZEK, Monika; CHABEL, Monika; DITTMANN, Joanna"
2018 World Rowing Cup I,W4-,Women's Four - Heat,H2,01/06/2018,4,FRA,07:06.9,"VOIRIN, Julie; MAYNE, Alice; BAHUAUD, Flavie; LE NEPVOU, Marie"
2018 World Rowing Cup I,W4-,Women's Four - Final,FA,03/06/2018,1,NED2,06:27.4,"RUSTENBURG, Lies; VAN VEEN, Jose; CLEVERING, Ymkje; LANZ, Monica"
2018 World Rowing Cup I,W4-,Women's Four - Final,FA,03/06/2018,2,NED1,06:28.7,"HOGERWERF, Elisabeth; OLDENBURG, Marloes; JORRITSMA, Aletta; MEESTER, Veronique"
2018 World Rowing Cup I,W4-,Women's Four - Final,FA,03/06/2018,3,RUS,06:30.1,"POTAPOVA, Ekaterina; TIKHANOVA, Anastasia; SEVOSTIANOVA, Ekaterina; ORIABINSKAIA, Elena"
2018 World Rowing Cup I,W4-,Women's Four - Final,FA,03/06/2018,4,GBR2,06:30.4,"GAMMOND, Fiona; NORTON, Holly; BENNETT, Karen; SHORTEN, Rebecca"
2018 World Rowing Cup I,W4-,Women's Four - Final,FA,03/06/2018,5,DEN,06:34.1,"LARSEN, Anne; SANGGAARD NIELSEN, Frida; KEMPF, Marta; DAHL PEDERSEN, Trine"
2018 World Rowing Cup I,W4-,Women's Four - Final,FA,03/06/2018,6,POL,06:40.1,"MICHALKIEWICZ, Olga; SOBIESZEK, Monika; CHABEL, Monika; DITTMANN, Joanna"
2018 World Rowing Cup I,W4-,Women's Four - Final,FB,03/06/2018,1,NED3,06:39.2,"VERBURGH, Marleen; BAS, Rosa; BRANDSMA, Lisanne; DRENTH, Hermijntje"
2018 World Rowing Cup I,W4-,Women's Four - Final,FB,03/06/2018,2,GBR1,06:39.8,"CHIN, Rebecca; MCMURTRY, Caragh; PARFETT, Sara; WRATTEN, Josephine"
2018 World Rowing Cup I,W4-,Women's Four - Final,FB,03/06/2018,3,FRA,06:44.4,"VOIRIN, Julie; MAYNE, Alice; BAHUAUD, Flavie; LE NEPVOU, Marie"
2018 World Rowing Cup I,W4-,Women's Four - Repechage,R1,02/06/2018,1,DEN,06:41.8,"LARSEN, Anne; SANGGAARD NIELSEN, Frida; KEMPF, Marta; DAHL PEDERSEN, Trine"
2018 World Rowing Cup I,W4-,Women's Four - Repechage,R1,02/06/2018,2,POL,06:43.3,"MICHALKIEWICZ, Olga; SOBIESZEK, Monika; CHABEL, Monika; DITTMANN, Joanna"
2018 World Rowing Cup I,W4-,Women's Four - Repechage,R1,02/06/2018,3,GBR1,06:44.7,"CHIN, Rebecca; MCMURTRY, Caragh; PARFETT, Sara; WRATTEN, Josephine"
2018 World Rowing Cup I,W4-,Women's Four - Repechage,R1,02/06/2018,4,NED3,06:50.3,"VERBURGH, Marleen; BAS, Rosa; BRANDSMA, Lisanne; DRENTH, Hermijntje"
2018 World Rowing Cup I,W4-,Women's Four - Repechage,R1,02/06/2018,5,FRA,06:51.5,"VOIRIN, Julie; MAYNE, Alice; BAHUAUD, Flavie; LE NEPVOU, Marie"
2018 World Rowing Cup I,W2-,Women's Pair - Heat,H1,01/06/2018,1,GBR1,07:19.1,"MERLOTT CHITTY, Anastasia; GIRLING, Rebecca"
2018 World Rowing Cup I,W2-,Women's Pair - Heat,H1,01/06/2018,2,GBR2,07:22.9,"FORD, Emily; ASHFORD, Emily"
2018 World Rowing Cup I,W2-,Women's Pair - Heat,H1,01/06/2018,3,IRL,07:23.8,"KEOGH, Aifric; HEGARTY, EMILY"
2018 World Rowing Cup I,W2-,Women's Pair - Heat,H1,01/06/2018,4,SRB,07:25.7,"ZARIC, Natasa; ARSIC, Jovana"
2018 World Rowing Cup I,W2-,Women's Pair - Heat,H1,01/06/2018,5,CHN1,07:28.9,"WANG, Jie; XU, Xingye"
2018 World Rowing Cup I,W2-,Women's Pair - Heat,H2,01/06/2018,1,CAN,07:09.5,"FILMER, Caileigh; JANSSENS, Hillary"
2018 World Rowing Cup I,W2-,Women's Pair - Heat,H2,01/06/2018,2,ESP,07:16.0,"BOADA PEIRO, Anna; CID , Aina"
2018 World Rowing Cup I,W2-,Women's Pair - Heat,H2,01/06/2018,3,NED,07:19.6,"BEERES, Elsbeth; YOUSSIFOU, Laila"
2018 World Rowing Cup I,W2-,Women's Pair - Heat,H2,01/06/2018,4,KOR,07:35.0,"JEON, Seoyeong; KIM, Seo Hee"
2018 World Rowing Cup I,W2-,Women's Pair - Heat,H2,01/06/2018,5,HUN,07:36.4,"POLIVKA, Dora; KREMER, Eszter"
2018 World Rowing Cup I,W2-,Women's Pair - Heat,H3,01/06/2018,1,DEN,07:21.8,"RASMUSSEN, Hedvig; JOHANSEN, Christina"
