competition,event,race,code,date,position,nationality,time,crew
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,22/08/2016,2,USA,07:01.8,"RIGOGNE, Yohann; PESZEK, Thomas; LOMBARDI JR, Louis"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,22/08/2016,3,FRA,07:05.8,"DEMEY, Benoit; BRUNET, Benoit; HACOT, Thibaut"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,22/08/2016,4,TUR,07:06.7,"KAZAKLI, Onat; SAHINOGLU, Besim; SAHIN, Kaan"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,22/08/2016,5,RUS,07:30.5,"STROMKIN, Aleksander; DEMCHUK, Dmitry; SOLOGUB-ANTONOV, Evgeny"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H3,22/08/2016,1,GBR,06:59.3,"COOK, Oliver; MCBRIERTY, Callum; FIELDMAN, Henry"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H3,22/08/2016,2,CAN,07:02.8,"STEWART-JONES, Andrew; DE WIT, Benjamin; CHUNG, Kevin"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H3,22/08/2016,3,UKR,07:10.7,"GRYN, Sergii; MOROZ, Artem; KONOVALIUK, Oleksandr"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H3,22/08/2016,4,CZE,07:12.2,"KLANG, Matyas; MAKOVICKA, Jakub; SUMA, Radek"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H3,22/08/2016,5,GER,07:14.9,"MERGET, Nico; FRAENKEL, Maximilian; LINDEMANN, Felix"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,27/08/2016,1,GBR,07:29.7,"COOK, Oliver; MCBRIERTY, Callum; FIELDMAN, Henry"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,27/08/2016,2,CAN,07:32.1,"STEWART-JONES, Andrew; DE WIT, Benjamin; CHUNG, Kevin"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,27/08/2016,3,ITA,07:32.2,"PAONESSA, Mario; CAPELLI, Vincenzo; RIVA, Andrea"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,27/08/2016,4,NED,07:33.0,"BRAAS, Roel; STEENMAN, Mitchel; WIERSUM, Peter"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,27/08/2016,5,USA,07:38.0,"RIGOGNE, Yohann; PESZEK, Thomas; LOMBARDI JR, Louis"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,27/08/2016,6,ESP,07:54.3,"GARCIA ORDONEZ, Javier; MONTES, Ismael; JURADO DIAZ, Tomas"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,27/08/2016,1,BLR,07:43.4,"FURMAN, Dzimitry; SURAVETS, Dzianis; PIATRYNICH, Piotr"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,27/08/2016,2,TUR,07:43.8,"KAZAKLI, Onat; SAHINOGLU, Besim; SAHIN, Kaan"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,27/08/2016,3,FRA,07:45.7,"DEMEY, Benoit; BRUNET, Benoit; HACOT, Thibaut"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,27/08/2016,4,UKR,07:48.6,"GRYN, Sergii; MOROZ, Artem; KONOVALIUK, Oleksandr"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,27/08/2016,5,CZE,07:49.3,"KLANG, Matyas; MAKOVICKA, Jakub; SUMA, Radek"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,27/08/2016,6,GER,07:51.6,"MERGET, Nico; FRAENKEL, Maximilian; LINDEMANN, Felix"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FC,27/08/2016,1,RSA,07:51.2,"DAVIS, Leo Victor; BRITTAIN, Charles; KHUMALO, Jabulani"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FC,27/08/2016,2,RUS,08:04.7,"STROMKIN, Aleksander; DEMCHUK, Dmitry; SOLOGUB-ANTONOV, Evgeny"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Final,FC,27/08/2016,3,BUL,00:00.0,"VASILEV, Kristian; BOZHILOV, Georgi; STAMENOV, Andon"
