competition,event,race,code,position,nationality,time,crew
2013 World Rowing Cup I,M1x,Men's Single Sculls - Repechage,R,1,AUS1,07:14.9,"KOBELKE, Kieran"
2013 World Rowing Cup I,M1x,Men's Single Sculls - Repechage,R,2,GER,07:22.9,"SCHOEMANN-FINCK, Jost"
2013 World Rowing Cup I,M1x,Men's Single Sculls - Repechage,R,3,AUS2,07:25.2,"WATTS, David"
2013 World Rowing Cup I,M1x,Men's Single Sculls - Repechage,R,4,KOR,07:27.6,"KIM, Dongyong"
2013 World Rowing Cup I,M1x,Men's Single Sculls - Repechage,R,5,ZIM,07:33.5,"PURCELL-GILPIN, Peter"
2013 World Rowing Cup I,M1x,Men's Single Sculls - Repechage,R,6,VIE,07:46.6,"DANG, Tuan"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H1,1,NZL,07:05.7,"BOURKE, Fiona; STEVENSON, Zoe"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H1,2,GBR1,07:15.7,"RODFORD, Beth; THORNLEY, Victoria"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H1,3,AUS,07:18.8,"CLEARY, Jennifer; HOOPER, Rebekah"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H1,4,CHN1,07:25.0,"TIAN, Liang; ZHANG, Yangyang"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H2,1,GBR2,07:04.4,"HOUGHTON, Frances; MEYER-LAKER, Victoria"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H2,2,CHN3,07:09.0,"WANG, Fei; ZHANG, Xiuyun"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Heat,H2,3,USA1,07:14.8,"KALMOE, Megan; LOFGREN, Esther"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,1,NZL,06:56.9,"BOURKE, Fiona; STEVENSON, Zoe"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,2,CHN1,06:59.3,"TIAN, Liang; ZHANG, Yangyang"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,3,GBR2,07:02.1,"HOUGHTON, Frances; MEYER-LAKER, Victoria"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,4,GBR1,07:05.5,"RODFORD, Beth; THORNLEY, Victoria"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,5,USA1,07:06.6,"KALMOE, Megan; LOFGREN, Esther"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Final,FA,6,AUS,07:14.0,"CLEARY, Jennifer; HOOPER, Rebekah"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Repechage,R,1,GBR1,07:38.7,"RODFORD, Beth; THORNLEY, Victoria"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Repechage,R,2,CHN1,07:39.2,"TIAN, Liang; ZHANG, Yangyang"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Repechage,R,3,USA1,07:42.7,"KALMOE, Megan; LOFGREN, Esther"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Repechage,R,4,AUS,07:42.8,"CLEARY, Jennifer; HOOPER, Rebekah"
2013 World Rowing Cup I,W2x,Women's Double Sculls - Repechage,R,5,CHN3,07:44.4,"WANG, Fei; ZHANG, Xiuyun"
2013 World Rowing Cup I,W8+,Women's Eight - Heat,H1,1,GBR,06:47.7,"GREVES, Katie; EDDIE, Jessica; RODFORD, Beth; MEYER-LAKER, Victoria; HOUGHTON, Frances; THORNLEY, Victoria; GLOVER, Helen; SWANN, Polly; DE TOLEDO, Zoe"
2013 World Rowing Cup I,W8+,Women's Eight - Heat,H1,2,CAN,06:54.4,"GULOIEN, Krista; SHAFFER, Kerry; GANES, Carolyn; GOODFELLOW, Katharine; ROPER, Christine; BRZOZOWICZ, Ashley; MARQUARDT, Darcy; BLACK, Sarah; THOMPSON-WILLIE, Lesley"
2013 World Rowing Cup I,W8+,Women's Eight - Heat,H1,3,CHN1,07:08.7,"ZHENG, Chang; LI, Dan; YAO, Hong; ZONG, Ye; ZHANG, Li; SHEN, Xiaoxing; ZHANG, Yanhong; ZHAO, Yan; ZHAO, Li"
2013 World Rowing Cup I,W8+,Women's Eight - Heat,H1,4,CHN2,07:20.0,"LU, Weiwei; DONG, Wei; XIAO, Huanlei; ZHAO, Shuang; LIU, Xiaojie; LI, Meng; YIN, Dameng; SUN, Zhengping; WU, Kaili"
2013 World Rowing Cup I,W8+,Women's Eight - Heat,H2,1,AUS,06:44.9,"VERMEERSCH, Hannah; CHATTERTON, Renee; HORTON, Genevieve; BATEMAN, Katrina; GERRAND, Tess; HAGAN, Alexandra; SUTHERLAND, Charlotte; STEPHAN, Lucy; PATRICK, Elizabeth"
2013 World Rowing Cup I,W8+,Women's Eight - Heat,H2,2,USA,06:47.0,"MARTELLI, Adrienne; TOMEK, Ellen; HENDERSHOT, Sara; POLK, Amanda Mandy; LUCZAK, Grace; RITZEL, Taylor; MUSNICKI, Meghan; LIND, Caroline; CARROLL, Leigh"
2013 World Rowing Cup I,W8+,Women's Eight - Heat,H2,3,NZL,06:59.5,"MATTHEWS, Linda; AYLING, Louise; PRENDERGAST, Grace; GOWLER, Kerri; LOE, Jessica; MACFARLANE, Eve; BEHRENT, Genevieve; BEVAN, Kelsey; CAMPBELL, Laura"
2013 World Rowing Cup I,W8+,Women's Eight - Final,FA,1,AUS,06:07.0,"VERMEERSCH, Hannah; CHATTERTON, Renee; HORTON, Genevieve; BATEMAN, Katrina; GERRAND, Tess; HAGAN, Alexandra; SUTHERLAND, Charlotte; STEPHAN, Lucy; PATRICK, Elizabeth"
2013 World Rowing Cup I,W8+,Women's Eight - Final,FA,2,USA,06:07.8,"MARTELLI, Adrienne; TOMEK, Ellen; HENDERSHOT, Sara; POLK, Amanda Mandy; LUCZAK, Grace; RITZEL, Taylor; MUSNICKI, Meghan; LIND, Caroline; CARROLL, Leigh"
2013 World Rowing Cup I,W8+,Women's Eight - Final,FA,3,CAN,06:10.5,"GULOIEN, Krista; SHAFFER, Kerry; GANES, Carolyn; GOODFELLOW, Katharine; ROPER, Christine; BRZOZOWICZ, Ashley; MARQUARDT, Darcy; BLACK, Sarah; THOMPSON-WILLIE, Lesley"
2013 World Rowing Cup I,W8+,Women's Eight - Final,FA,4,GBR,06:11.3,"GREVES, Katie; EDDIE, Jessica; RODFORD, Beth; MEYER-LAKER, Victoria; HOUGHTON, Frances; THORNLEY, Victoria; GLOVER, Helen; SWANN, Polly; DE TOLEDO, Zoe"
2013 World Rowing Cup I,W8+,Women's Eight - Final,FA,5,NZL,06:17.4,"BEHRENT, Genevieve; AYLING, Louise; PRENDERGAST, Grace; GOWLER, Kerri; LOE, Jessica; MACFARLANE, Eve; MATTHEWS, Linda; BEVAN, Kelsey; CAMPBELL, Laura"
2013 World Rowing Cup I,W8+,Women's Eight - Final,FA,6,CHN1,06:20.4,"ZHENG, Chang; LI, Dan; YAO, Hong; ZONG, Ye; ZHANG, Li; SHEN, Xiaoxing; ZHANG, Yanhong; ZHAO, Yan; ZHAO, Li"
2013 World Rowing Cup I,W8+,Women's Eight - Repechage,R,1,USA,06:05.4,"MARTELLI, Adrienne; TOMEK, Ellen; HENDERSHOT, Sara; POLK, Amanda Mandy; LUCZAK, Grace; RITZEL, Taylor; MUSNICKI, Meghan; LIND, Caroline; CARROLL, Leigh"
2013 World Rowing Cup I,W8+,Women's Eight - Repechage,R,2,CAN,06:08.7,"GULOIEN, Krista; SHAFFER, Kerry; GANES, Carolyn; GOODFELLOW, Katharine; ROPER, Christine; BRZOZOWICZ, Ashley; MARQUARDT, Darcy; BLACK, Sarah; THOMPSON-WILLIE, Lesley"
2013 World Rowing Cup I,W8+,Women's Eight - Repechage,R,3,NZL,06:10.7,"MATTHEWS, Linda; AYLING, Louise; PRENDERGAST, Grace; GOWLER, Kerri; LOE, Jessica; MACFARLANE, Eve; BEHRENT, Genevieve; BEVAN, Kelsey; CAMPBELL, Laura"
2013 World Rowing Cup I,W8+,Women's Eight - Repechage,R,4,CHN1,06:15.5,"ZHENG, Chang; LI, Dan; YAO, Hong; ZONG, Ye; ZHANG, Li; SHEN, Xiaoxing; ZHANG, Yanhong; ZHAO, Yan; ZHAO, Li"
2013 World Rowing Cup I,W8+,Women's Eight - Repechage,R,5,CHN2,06:21.6,"LU, Weiwei; DONG, Wei; XIAO, Huanlei; ZHAO, Shuang; LIU, Xiaojie; LI, Meng; YIN, Dameng; SUN, Zhengping; WU, Kaili"
2013 World Rowing Cup I,W2-,Women's Pair - Heat,H1,1,USA2,07:23.5,"MUSNICKI, Meghan; LIND, Caroline"
2013 World Rowing Cup I,W2-,Women's Pair - Heat,H1,2,GBR2,07:29.7,"GREVES, Katie; EDDIE, Jessica"
2013 World Rowing Cup I,W2-,Women's Pair - Heat,H1,3,AUS2,07:33.3,"SUTHERLAND, Charlotte; HAGAN, Alexandra"
2013 World Rowing Cup I,W2-,Women's Pair - Heat,H1,4,CHN1,07:47.4,"XU, Ying; CUI, Xiaotong"
2013 World Rowing Cup I,W2-,Women's Pair - Heat,H2,1,GBR1,07:22.9,"GLOVER, Helen; SWANN, Polly"
2013 World Rowing Cup I,W2-,Women's Pair - Heat,H2,2,AUS1,07:35.7,"GERRAND, Tess; BATEMAN, Katrina"
2013 World Rowing Cup I,W2-,Women's Pair - Heat,H2,3,CAN,07:45.6,"ROPER, Christine; BLACK, Sarah"
2013 World Rowing Cup I,W2-,Women's Pair - Heat,H2,4,CHN2,08:03.0,"WANG, Xiaoqin; GU, Yuanyuan"
2013 World Rowing Cup I,W2-,Women's Pair - Final,FA,1,GBR1,07:03.6,"GLOVER, Helen; SWANN, Polly"
2013 World Rowing Cup I,W2-,Women's Pair - Final,FA,2,USA2,07:07.8,"MUSNICKI, Meghan; LIND, Caroline"
2013 World Rowing Cup I,W2-,Women's Pair - Final,FA,3,AUS1,07:12.3,"GERRAND, Tess; BATEMAN, Katrina"
2013 World Rowing Cup I,W2-,Women's Pair - Final,FA,4,CHN1,07:13.8,"XU, Ying; CUI, Xiaotong"
2013 World Rowing Cup I,W2-,Women's Pair - Final,FA,5,GBR2,07:14.5,"GREVES, Katie; EDDIE, Jessica"
2013 World Rowing Cup I,W2-,Women's Pair - Final,FA,6,CAN,07:24.3,"ROPER, Christine; BLACK, Sarah"
2013 World Rowing Cup I,W2-,Women's Pair - Final,FB,1,CHN2,07:58.1,"WANG, Xiaoqin; GU, Yuanyuan"
2013 World Rowing Cup I,W2-,Women's Pair - Final,FB,2,AUS2,08:08.2,"SUTHERLAND, Charlotte; HAGAN, Alexandra"
2013 World Rowing Cup I,W2-,Women's Pair - Repechage,R,1,AUS1,07:26.7,"GERRAND, Tess; BATEMAN, Katrina"
2013 World Rowing Cup I,W2-,Women's Pair - Repechage,R,2,GBR2,07:27.0,"GREVES, Katie; EDDIE, Jessica"
2013 World Rowing Cup I,W2-,Women's Pair - Repechage,R,3,CAN,07:28.9,"ROPER, Christine; BLACK, Sarah"
2013 World Rowing Cup I,W2-,Women's Pair - Repechage,R,4,CHN1,07:29.2,"XU, Ying; CUI, Xiaotong"
2013 World Rowing Cup I,W2-,Women's Pair - Repechage,R,5,AUS2,07:33.2,"SUTHERLAND, Charlotte; HAGAN, Alexandra"
2013 World Rowing Cup I,W2-,Women's Pair - Repechage,R,6,CHN2,07:59.0,"WANG, Xiaoqin; GU, Yuanyuan"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Heat,H1,1,USA,06:29.5,"KALMOE, Megan; LOFGREN, Esther; FRANCIA, Zsuzsanna; LOGAN, Eleanor"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Heat,H1,2,AUS,06:29.6,"PERKINS, Sarah; HALL, Jessica; EDMUNDS, Madeleine; ALDERSEY, Olympia"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Heat,H1,3,CAN,06:39.5,"SHAFFER, Kerry; CAMERON, Emily; ZEEMAN, Carling; GOODFELLOW, Katharine"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Heat,H1,4,CHN2,06:44.1,"WANG, Binyan; ZHANG, Yage; LYU, Yang; WANG, Jie"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Heat,H2,1,NZL,06:36.9,"GRAY, Sarah; PERRY, Georgia; ARMSTRONG, Genevieve; SHELTON, Erin-Monique"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Heat,H2,2,GBR,06:39.9,"RELPH, Monica; LEE, Zoe; CARNEGIE-BROWN, Olivia; STILLER, Kristina"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Heat,H2,3,CHN1,06:55.1,"YAO, Hong; YAN, Xiaoxia; TIAN, Liang; ZHANG, Yangyang"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Final,FA,1,AUS,06:21.9,"PERKINS, Sarah; HALL, Jessica; EDMUNDS, Madeleine; ALDERSEY, Olympia"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Final,FA,2,USA,06:26.5,"KALMOE, Megan; LOFGREN, Esther; FRANCIA, Zsuzsanna; LOGAN, Eleanor"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Final,FA,3,NZL,06:26.8,"GRAY, Sarah; PERRY, Georgia; ARMSTRONG, Genevieve; O BRIEN, Erin-Monique"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Final,FA,4,GBR,06:30.4,"RELPH, Monica; LEE, Zoe; CARNEGIE-BROWN, Olivia; STILLER, Kristina"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Final,FA,5,CAN,06:31.6,"SHAFFER, Kerry; CAMERON, Emily; ZEEMAN, Carling; GOODFELLOW, Katharine"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Final,FA,6,CHN2,06:36.0,"WANG, Binyan; ZHANG, Yage; LYU, Yang; WANG, Jie"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Repechage,R,1,AUS,06:33.6,"PERKINS, Sarah; HALL, Jessica; EDMUNDS, Madeleine; ALDERSEY, Olympia"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Repechage,R,2,CAN,06:39.1,"SHAFFER, Kerry; CAMERON, Emily; ZEEMAN, Carling; GOODFELLOW, Katharine"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Repechage,R,3,GBR,06:41.3,"RELPH, Monica; LEE, Zoe; CARNEGIE-BROWN, Olivia; STILLER, Kristina"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Repechage,R,4,CHN2,06:48.2,"WANG, Binyan; ZHANG, Yage; LYU, Yang; WANG, Jie"
2013 World Rowing Cup I,W4x,Women's Quadruple Sculls - Repechage,R,5,CHN1,08:02.7,"YAO, Hong; YAN, Xiaoxia; TIAN, Liang; ZHANG, Yangyang"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Heat,H1,1,AUS,07:54.0,"CROW, Kim"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Heat,H1,2,EST,07:58.0,"PAJUSALU, Kaisa"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Heat,H1,3,USA2,08:00.2,"FRANCIA, Zsuzsanna"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Heat,H1,4,ZIM,08:03.9,"THORNYCROFT, Micheen"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Heat,H1,5,BUL,08:24.4,"RUSINOVA, Luiza-Mariya"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Heat,H2,1,USA1,07:54.1,"LOGAN, Eleanor"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Heat,H2,2,CHN1,07:56.9,"TANG, Bin"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Heat,H2,3,CAN,07:59.4,"ZEEMAN, Carling"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Heat,H2,4,KOR,08:29.4,"KIM, Yeji"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Final,FA,1,AUS,07:35.8,"CROW, Kim"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Final,FA,2,CHN1,07:39.2,"TANG, Bin"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Final,FA,3,USA1,07:41.2,"LOGAN, Eleanor"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Final,FA,4,USA2,07:46.7,"FRANCIA, Zsuzsanna"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Final,FA,5,EST,07:49.0,"PAJUSALU, Kaisa"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Final,FA,6,CAN,07:54.3,"ZEEMAN, Carling"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Final,FB,1,ZIM,07:47.8,"THORNYCROFT, Micheen"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Final,FB,2,KOR,07:49.6,"KIM, Yeji"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Final,FB,3,BUL,07:50.7,"RUSINOVA, Luiza-Mariya"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Repechage,R,1,USA2,08:41.9,"FRANCIA, Zsuzsanna"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Repechage,R,2,CAN,08:46.3,"ZEEMAN, Carling"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Repechage,R,3,ZIM,08:49.6,"THORNYCROFT, Micheen"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Repechage,R,4,BUL,08:49.9,"RUSINOVA, Luiza-Mariya"
2013 World Rowing Cup I,W1x,Women's Single Sculls - Repechage,R,5,KOR,09:07.8,"KIM, Yeji"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Heat,H1,1,RUS1,05:07.4,"CHUVASHEV, Alexey"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Heat,H1,2,GBR2,05:10.3,"HOUGHTON, Andrew"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Heat,H1,3,RUS2,05:15.6,"MOROZOV, Vadim"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Heat,H1,4,IRL,06:31.2,"KELLY, Thomas"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Heat,H2,1,GBR1,05:04.2,"AGGAR, Tom"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Heat,H2,2,EST,05:51.1,"VIHMAND, Tonis"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Heat,H2,3,HUN1,05:59.3,"NEMETH, Szabolcs"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Heat,H2,4,POL,06:04.7,"NIEWIAROWSKI, Leszek"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Final,FA,1,GBR1,05:18.7,"AGGAR, Tom"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Final,FA,2,RUS1,05:25.4,"CHUVASHEV, Alexey"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Final,FA,3,GBR2,05:34.7,"HOUGHTON, Andrew"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Final,FA,4,RUS2,05:41.3,"MOROZOV, Vadim"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Final,FA,5,EST,06:24.1,"VIHMAND, Tonis"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Final,FA,6,HUN1,06:43.6,"NEMETH, Szabolcs"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Final,FB,1,POL,06:40.3,"NIEWIAROWSKI, Leszek"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Final,FB,2,IRL,07:19.1,"KELLY, Thomas"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Repechage,R,1,GBR2,05:19.9,"HOUGHTON, Andrew"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Repechage,R,2,RUS2,05:25.4,"MOROZOV, Vadim"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Repechage,R,3,EST,05:57.2,"VIHMAND, Tonis"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Repechage,R,4,HUN1,06:07.0,"NEMETH, Szabolcs"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Repechage,R,5,POL,06:08.0,"NIEWIAROWSKI, Leszek"
2013 World Rowing Cup II,ASM1x,AS Men's Single Sculls - Repechage,R,6,IRL,06:15.0,"KELLY, Thomas"
2013 World Rowing Cup II,ASW1x,AS Women's Single Sculls - Final,FA,1,RUS,06:20.7,"BOLSHAKOVA, Natalia"
2013 World Rowing Cup II,ASW1x,AS Women's Single Sculls - Final,FA,2,UKR,06:29.1,"LYSENKO, Alla"
2013 World Rowing Cup II,ASW1x,AS Women's Single Sculls - Final,FA,3,NOR,06:30.0,"SKARSTEIN, Birgit"
2013 World Rowing Cup II,ASW1x,AS Women's Single Sculls - Final,FA,4,ISR,06:56.7,"SAMUEL, Moran"
2013 World Rowing Cup II,ASW1x,AS Women's Single Sculls - Final,FA,5,SUI,07:25.4,"SCHWALLER, Ursula"
2013 World Rowing Cup II,ASW1x,AS Women's Single Sculls - Final,FA,6,HUN,07:59.0,"LENGYEL, Monika"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H1,1,GBR,06:29.9,"CHAMBERS, Richard; CHAMBERS, Peter"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H1,2,NED,06:32.4,"MUDA, Vincent; MUDA, Tycho"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H1,3,HKG1,06:42.9,"TANG, Chiu Mang; LOK, Kwan Hoi"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H1,4,HKG2,06:45.3,"CHOW, Kwong Wing; KWAN, Ki Cheong"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H1,5,VEN,06:54.4,"GUIPE JIMENEZ, Jose; AMARIS FERNANDEZ, Cesar"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H2,1,NOR,06:26.6,"BRUN, Kristoffer; STRANDLI, Are"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H2,2,POL,06:28.9,"MIKOLAJCZEWSKI, Artur; JANKOWSKI, Milosz"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H2,3,HUN,06:30.0,"MATYASOVSZKI, Daniel; GALAMBOS, Peter"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H2,4,USA,06:41.4,"ETHRIDGE, Colin; ALTER, Peter"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H2,5,BRA,06:44.9,"ZIMMERMANN, Roque; DE SOUSA BRITO, Ronald"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H3,1,AUT,06:26.5,"SIEBER, Paul; SIEBER, Bernhard"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H3,2,GER,06:28.4,"KOCH, Jonathan; HARTIG, Lars"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H3,3,JPN,06:32.5,"IKEDA, Yuki; HAMADA, Yuta"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H3,4,ARG,06:36.0,"FERNANDEZ, Nicolai; MAYOL, Miguel"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Heat,H3,5,HKG3,06:57.3,"LEUNG, Chun Shek; WONG, Wai Kin"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FA,1,POL,06:17.1,"MIKOLAJCZEWSKI, Artur; JANKOWSKI, Milosz"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FA,2,GBR,06:18.3,"CHAMBERS, Richard; CHAMBERS, Peter"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FA,3,NOR,06:18.3,"BRUN, Kristoffer; STRANDLI, Are"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FA,4,AUT,06:20.1,"SIEBER, Paul; SIEBER, Bernhard"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FA,5,GER,06:27.1,"KOCH, Jonathan; HARTIG, Lars"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FA,6,NED,06:32.2,"MUDA, Vincent; MUDA, Tycho"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FB,1,HUN,06:25.1,"MATYASOVSZKI, Daniel; GALAMBOS, Peter"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FB,2,JPN,06:30.4,"IKEDA, Yuki; HAMADA, Yuta"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FB,3,USA,06:30.9,"ETHRIDGE, Colin; ALTER, Peter"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FB,4,ARG,06:31.7,"FERNANDEZ, Nicolai; MAYOL, Miguel"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FB,5,BRA,06:34.7,"ZIMMERMANN, Roque; DE SOUSA BRITO, Ronald"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FB,6,HKG1,06:35.9,"TANG, Chiu Mang; LOK, Kwan Hoi"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FC,1,HKG2,06:49.2,"CHOW, Kwong Wing; KWAN, Ki Cheong"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FC,2,HKG3,06:51.9,"LEUNG, Chun Shek; WONG, Wai Kin"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Final,FC,3,VEN,06:54.9,"AMARIS FERNANDEZ, Cesar; GUIPE JIMENEZ, Jose"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Repechage,R,1,USA,06:41.7,"ETHRIDGE, Colin; ALTER, Peter"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Repechage,R,2,ARG,06:44.1,"FERNANDEZ, Nicolai; MAYOL, Miguel"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Repechage,R,3,BRA,06:45.5,"ZIMMERMANN, Roque; DE SOUSA BRITO, Ronald"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Repechage,R,4,HKG2,06:48.1,"CHOW, Kwong Wing; KWAN, Ki Cheong"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Repechage,R,5,VEN,06:54.9,"GUIPE JIMENEZ, Jose; AMARIS FERNANDEZ, Cesar"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Repechage,R,6,HKG3,06:56.7,"LEUNG, Chun Shek; WONG, Wai Kin"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,1,NOR,06:38.8,"BRUN, Kristoffer; STRANDLI, Are"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,2,GBR,06:42.6,"CHAMBERS, Richard; CHAMBERS, Peter"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,3,GER,06:45.6,"KOCH, Jonathan; HARTIG, Lars"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,4,HUN,06:53.8,"MATYASOVSZKI, Daniel; GALAMBOS, Peter"
2013 World Rowing Cup II,LM2x,Lightweight Men's Double Sculls - Semifinal,SA/B 1,5,HKG1,07:03.1,"TANG, Chiu Mang; LOK, Kwan Hoi"
