Race Number,Event Name,Race Name and Type,Position,Lane Number,Club Code,Club Name,Crew List
74,Women's Eights Tier 1,Final A,6,1,NEW (B),Newcastle Univ,"Phoebe Truett, Sundee Denton-Chandler, Anna Van de Braak, Charlotte Dobson, Kate Woolley, Kathryn Eccles, Leanne Knight, Lucy Stanhope, [Cox] Charlotte Hill"
74,Women's Eights Tier 1,Final A,7,5,NEW (A),Newcastle Univ,"Fiona Chestnutt, Frances Russell, Harriet Aubrook, Lydia Davis, Katherine Bulmer, Leah Kindleyside, Harriet Roddy, Rachel Webb, [Cox] Sophie Bury"
75,Eights Tier 1,Final J,1,7,KCL (A),King's Coll Lon,"Matthew Fish, Ali Atun, Alexander Woodhouse, William Masters, Josh Funnell, Guglielmo La Torre, Kit Mersey, Nikolai Horozov, [Cox] Bethan Grech"
75,Eights Tier 1,Final J,2,5,MHD,Maidenhead RC,"Gabriel Jennings, Robert Smith, Peter Pratelli, Matthew Edmundson, Ben Edgar-Whelan, Chris Richards, Jack Cox, [Cox] Tegan Pereira-Rego"
75,Eights Tier 1,Final J,3,6,KCL (B),King's Coll Lon,"Jack Griffiths, Jack Mulekezi, Rory Swan, Derek Watson, Hugo Thomas, James Lee, Matthew Evans, Daniil Baryshnikov, [Cox] Eleanor Gosney"
75,Eights Tier 1,Final J,4,4,ZDU (C),Dublin University BC,"Isaac Brickenden, Ciaran Donegan, Paul Kennedy, Andrew Finnerty, John Taaffe, Hugh Lohan, Constantine Knauer, Ross Layden, [Cox] Hannah Colgan"
76,Eights Tier 1,Final I,1,4,AKN,Auriol Ken,"Yevgen Fesenko, Alexander Tomlinson, Juan Aponte, Joshua Herridge, James Kirkbride, Stuart Watts, Sebastian Frechtling, Cameron Graham, [Cox] William Lewis"
76,Eights Tier 1,Final I,2,6,ZDU (D),Dublin University BC,"Robbie White, Conor Phelan, Raja Sleiman, Dylan O'Halloran, Paulus Heemskerk, Brian Egan, Andrew Burgess, Gavin Moore, [Cox] Arne Philipeit"
76,Eights Tier 1,Final I,3,5,ZCD (C),University Coll Dublin RC,"Ben Moore, Thomas O Reilly, Thomas Birmingham, Robbie Glynn, Andrew Mays, Finnian Shilling, O Sullivan Cian, Tim Burke, [Cox] Caoimhe Fitzgerald"
76,Eights Tier 1,Final I,4,7,UWK (B),Warwick Univ,"Felix Buchanan, Amir Ben-Romdhane, Andreas Stabell, Alex Godfrey, Alfred Abercrombie, Carlo Fedeli, Erik Albertson, Manuel Hentschel, [Cox] Daisy Whitchurch"
76,Eights Tier 1,Final I,5,3,VRC (B),Vesta RC,"Robert Alexander, Christian Green, Christopher Goodfellow, Rory Baggott, Alexander KÃ¼ng, James Cox, Laurence Hookway, Oliver Chapman, [Cox] Chloe Ramambason"
76,Eights Tier 1,Final I,6,2,UBR (C),Bristol Univ,"Harry Baker, James Hogben, George Kilgour, Charlie Baker, Louis Heath, Angus Firth, William Feakes, Tom Sykes, [Cox] Alicia Hardy"
76,Eights Tier 1,Final I,7,1,UCL (B),UC London,"Jack Ren, Neel Raja, Patrick McDonald, Nikolaj Tranholm-Mikkelsen, Joris Simaitis, Theodore Fawcett, Shay Sharma, Freddie Dewey, [Cox] Sean Cannon"
77,Eights Tier 1,Final H,1,7,VRC (A),Vesta RC,"Sven Radcke, Oliver Lumley, Michael Warren, Giovanni Galavotti, Christopher Clements, Henry Primarolo, Robert Donald, William Pearson, [Cox] Nicola Sani"
77,Eights Tier 1,Final H,2,6,CFU,Cardiff Univ,"Christopher Blenkharn, George Webb, Sam Davenport, Harry Perry, James Dennis, Nicholas Garraway, Harry Smallman, Dominic O'Malley, [Cox] Emma Fitzpatrick"
77,Eights Tier 1,Final H,3,5,UBR (B),Bristol Univ,"Morgan Gray, Tom Watkinson, Alasdair Knight, James Foster, John Allden, Marcus Smith, Arthur Smith, Carl Cox, [Cox] Johanna Dodgson"
77,Eights Tier 1,Final H,4,4,EXU (B),Exeter Univ,"Rossana Wing, Ben Shaw, Benjamin Sherry, Rhys Powell, John Adams, Fergus Shegog, James Shaw, Michael de Winton, Jack Marcus, [Cox] Sophie Wrixon"
77,Eights Tier 1,Final H,5,2,DUB,Durham Univ,"Matthew Roe, Harry Cox, Lachie Ives, George Cansdale, Christian Palmer, Lloyd Barron-Robinson, Lucas Rodd, Benjamin Evans, [Cox] Fiona Hardyman"
77,Eights Tier 1,Final H,6,3,CAM,Cambridge City,"Tom Watt, Ashley Mander, Scott O'Donoghue, Paul Worth, Thomas Hetherington, Callum McKenzie, Thomas Shadbolt, Jack Lawlor-Anderson, [Cox] Jess Upton"
77,Eights Tier 1,Final H,7,1,NSH,Nonesuch BC,"H Cooper, Ben McSweeney, Toby Bownass, Charles Lewis, Francis Beynon, Chris Heywood, Jonathan McCann, Thomas Clark, [Cox] Emily Almond"
78,Eights Tier 1,Final G,1,3,YRK,York City RC,"Philip Press, Paul Richardson, Charles Heise, Patrick Evans, Benjamin Bollans, Iain David Edmondson, Andrew Wilkinson, Daniel Lewis, [Cox] Louise Hawkyard"
78,Eights Tier 1,Final G,2,7,LEE,Leeds RC,"Andrew Walker, Mark Tarrant, Lewis Marston, Conor Vincent, James Tipper, Daniel Humphrey, Vasileios Athanasiadis, Theodosios Travlos, [Cox] Jasmine Jones"
78,Eights Tier 1,Final G,3,2,COX (B),Oxford City,"Hamish Bowie, William Rogers, Edward Podgorski, Dmitry Nazarenko, Simon Kirk, Luke Kelly, Harry Robinson, Thomas Briggs, [Cox] Kirstin Anderson"
78,Eights Tier 1,Final G,4,6,SCO,St Cats Oxford,"Matthew Smith, Ryan McKay, David Smith, Julian Malisano, Oliver Berry, Jack Shepherd-Cross, Jonathan Martin, Charles Garner, [Cox] Tobias Dirnhuber"
78,Eights Tier 1,Final G,5,1,NOR,Norwich RC,"Oliver Roe, Ed English, Oli Tyler, Carey Pearson, Carl Shiplee, Jake Kattenhorn Black, Toby Trett, Oliver Negus, [Cox] Darwin Columbus Friend"
78,Eights Tier 1,Final G,6,5,EXE,Exeter RC,"Sam Gilman, Marcus Worthington, Simeon Bates, Robbie Eggen, Ben Bryon-Edmond, Sam Fotheringham, Graham Forrest, Tom Smalley, [Cox] Samuel Cope"
78,Eights Tier 1,Final G,7,4,UNH,United Hosp BC,"James Temple, Robin Wang, Lewis Rogers, Yaroslav Shkanov, Amaury Trockels, Anthony Flannery, Morgan Hughes, Abdel Younes Ibrahim, [Cox] Alexander Davie"
79,Eights Tier 1,Final F,1,5,ZNU (B),NUI Galway BC,"Jack Kilduff, Alex Chadfield, Kai McGlacken, Baptiste Guerinot, Brian Keane, Eoghan Walls-Tuite, Gerry Mannion, Donal Coen, [Cox] Cathal McNamara"
79,Eights Tier 1,Final F,2,4,IMP (B),Imperial Coll,"Ian Kegler, James Wilson, David Simmonds, Matthew Layton, Ben Hambrook, Matthew McElroy, Harry Uglow, Harry Knights, [Cox] Charlotte Grayson"
79,Eights Tier 1,Final F,3,2,EXU (A),Exeter Univ,"Thomas Richards, Cameron Murray, Nicholas Mathers, Carl Lofthagen, Tristan Taylor, John Hunt, Angus Irvine, Charles Scott, [Cox] Edward Mills"
79,Eights Tier 1,Final F,4,3,UWK (A),Warwick Univ,"Mark Hughes, Jack Hutchinson, Alexander Dawson, Tiago Fachada, Thomas Hall, Joshua Semple, Lukas UhrstrÃ¶m, Jake Bedford, [Cox] Sophie Ledingham"
79,Eights Tier 1,Final F,5,7,UCL (A),UC London,"Ludovic Lenders, James Dyson, Oscar Frith, Sachin Turakhia, John Figi, Maximilian Hess, Rory Dawson, Jaime San Miguel Navas, [Cox] Florence Beard"
80,Eights Tier 1,Final E,1,7,LEA,Lea RC,"James Stanier, Thomas Wei, Max James Beverton, Ross McDonald, Hugh Berry, Anthony Brewer, Evan Whittal-Williams, Emilio Hernandez, [Cox] Richard Hill"
80,Eights Tier 1,Final E,2,6,UWE,W England Univ,"Aghaude Amadi, Edward Dean, Benjamin Stafford, Charles Wagstaff, Liam Hopkins, Will Lord, Andrew Heath, Tim Waller, [Cox] Freya Jennings"
80,Eights Tier 1,Final E,3,5,WRR,Worcester RC,"David Hopkins, James Riach, Alex Kearns, Jack McDonald, Ryan Pettifer, William Fraser, Joshua Rogers, Timothy Woodman, [Cox] Molly Elkins"
80,Eights Tier 1,Final E,4,1,NRC,Nottingham RC,"Hamish Hughes, Toby Piggott, Matthew Bowles, Adam Wright, George Rymell, Stephen Bennett, Ben Farrell, James Doleman, [Cox] Sophie Jones"
80,Eights Tier 1,Final E,5,3,LRC (B),London RC,"Will Golding, Christopher Linn, Joshua Scott Meredith, Aidan O' Flaherty, Edward Sandhu, Nick Adams, George Trelawny, Rory Corbett, [Cox] Charlotte Fuscone"
80,Eights Tier 1,Final E,6,4,BAU,Bath Univ,"James Martin, Charlie Parker, Ben Pickford, Matthew Moore, Matthew Horsford, Marcus Lewis, William England, Thomas Bowles, [Cox] Daniel Baillache"
80,Eights Tier 1,Final E,7,2,TRC (C),Thames RC,"William Hilder, Andrew Curry, Thomas Burnell, Alexander Woolley, Radulf Bertschinger, Alexander Bennett, William Campbell, Keir Macdonald, [Cox] Jennifer Wainer"
81,Eights Tier 1,Final D,1,5,SHR,Shrewsbury Sch,"Matthew Hedges, Rory McKirdy, Alexander King, Matthew Farrow, Barnaby Fox, Alex Lyster-Binns, Matthew Rowe, Sam Branford, [Cox] Tomas Shiels"
81,Eights Tier 1,Final D,2,3,ZCD (B),University Coll Dublin RC,"Cameron Murphy, Coman O'Connell, Michael Noonan, Mark Doyle, Seamus Kennedy, Colm O'Riada, Joe Ronaldson, James O'Sullivan, [Cox] Shauna Fitz"
81,Eights Tier 1,Final D,3,7,CUR,Curlew RC,"John Stewart, Angus Wilson, Lukas Schmidt, Callum Stayton, Eoghan Beamish, Alexander James Parsons-Mills, T Weekes, Matthew Richardson, [Cox] Nicola Freeman"
81,Eights Tier 1,Final D,4,6,COX,Oxford City,"Toby Seely, Simon Kerswell-Jensen, William Clarke, James Green, Matthew Jones, Henry Drohan, Lucian Purvis, Malcolm Nisbet, [Cox] Alissa Bray"
81,Eights Tier 1,Final D,5,4,ZDU (B),Dublin University BC,"Ryan Dullaghan, Donal O'Shea, Daniel Dennis, Lucas Prodohl, Sean Canning, William Eddershaw, Mark Connolly, Brian Cronin, [Cox] Hamilton Rowan"
81,Eights Tier 1,Final D,6,2,OXB (E),Oxford Brookes,"Jacob Anderson, Jordan Pepermans, Charlie Johnston, Jack Rhodes, Matthew Jones, Ben Eames, Jasper Elliott, Samuel Smith, [Cox] Katy Ward"
82,Eights Tier 1,Final C,1,7,ZDU (A),Dublin University BC,"Adam Browne, Willian Doyle, Matthew Mitchell, Patrick Moreau, Liam Hawkes, Josh Norton, Liadov Andrej, Mark Quigely, [Cox] Hamilton Rowan"
82,Eights Tier 1,Final C,2,5,TRC (B),Thames RC,"Simon Moss, Joe Abdalla, Huw Jones, Andrew Gordon, Charlie Bouch, Sam Thornton, Thomas Symons, Sebastien Tyrie, [Cox] Emily Burge"
82,Eights Tier 1,Final C,3,2,ULO (B),London Univ,"Matthew Denley, Hendrik Kroon, Toby Langstone, Charles Middleton, Alexander Fisher, Will Carey, Thomas Bruce, Guy Screaton, [Cox] Lucy Jones"
82,Eights Tier 1,Final C,4,6,TKC,Team Keane,"Edward Shields, George McKirdy, Benedict Aldous, Anthonie Jacobson, Charles Thurston, Stevan Boljevic, Robert Boswall, Henry Shalders, [Cox] Angus Forbes"
82,Eights Tier 1,Final C,5,4,TSS,Tideway Sc Sch,"Ishan Barve, Rob Hogan, Sean Blake, Robert Muscroft, James Budenberg, Robert Hodgson, Samuel Anderson, Edward Beckett, Kieran Brown, [Cox] Ruaridh MacPhee"
82,Eights Tier 1,Final C,6,3,AGE,Agecroft RC,"Andrew Thomas, Rory O'Neill, Thomas Buckley, Tristan Hollis, Sean Szekely, John Ford, Benedict Adey-Johnson, Jack Roe, [Cox] Lucy Masters"
82,Eights Tier 1,Final C,7,1,RCH,Royal Chester,"Fraser Morgan, Henry William McGarva, Peter Dean, Daniel Weatherly, Harrison Hunter, Thomas Rushton, Alexander Constantinou, John Hedley McGarva, [Cox] Sarah Armstrong"
83,Eights Tier 1,Final B,1,5,IMP,Imperial Coll,"Romain Barnoud, James Harrison, Luke Whiting, Edward Bentley, A Ball, Edward Rees, Jonathan Edwards, Alister Fraser, [Cox] Emily Boother"
83,Eights Tier 1,Final B,2,7,ZNU (A),NUI Galway BC,"Oisin Nolan, Brion O'Rourke, Eoghan Whittle, Jack Bennett, Mantis Pukelis, Kevin Nevile, Richard Bennett, Liam Keane, [Cox] Cathal McNamara"
83,Eights Tier 1,Final B,3,6,ZCD (A),University Coll Dublin RC,"Niall Farrell, David Somers, Tiarnan Doherty, Max Murphy, Sam Bolger, Andrew Griffin, Eoin Gleeson, Ross Thompson, [Cox] Orlagh Reid"
83,Eights Tier 1,Final B,4,4,OXB (D),Oxford Brookes,"Matthew Swiss, Connor Smith, James Snowball, Ben Murphy, Leon Redman, Oliver Ayres, Oliver Gerrard, Patrick Tawns, [Cox] Laura Hyatt"
83,Eights Tier 1,Final B,5,1,KRC,Kingston RC,"Adele Hing, Andrew Bedford, Edward Davies, Ben Handy, Thomas Rawlins, Hal Bedford-Payne, Cameron Spurling, George Fellows, [Cox] Prudence Seaward"
83,Eights Tier 1,Final B,6,3,LRC (A),London RC,"Matthew Reeder, Dylan Wing, Todd Hale, Thomas Neeld, Tom Monaghan, Jamie Saunders, Sebastien Thomas, Lucas Vitale, [Cox] Kim Wilkinson"
83,Eights Tier 1,Final B,7,2,GOL,Goldie BC,"John McCarthy, Jonty Page, Richard Goerke, Sam Ringer, Thomas Strudwick, Seoirse Murray, James Henderson, Pieter Lammers, [Cox] Emily Gordon"
84,Eights Tier 1,Final A,1,7,OXB (A),Oxford Brookes,"Joshua Bugajski, Robert Massey, Matthew Aldridge, Rory Gibbs, Michael Glover, Morgan Bolding, Henry Swarbrick, James Stanhope, [Cox] Harry Brightmore"
84,Eights Tier 1,Final A,2,6,OXB (B),Oxford Brookes,"Dylan Mitchell, Christopher Zahn, William Hall, Robin Stirling, Christopher Tebb, Gareth Syphas, Brendan Edwards, Matthew Hnatiw, [Cox] Charles Clarke"
84,Eights Tier 1,Final A,3,4,OXB (C),Oxford Brookes,"Ben O'Neill, Edwin Grimster, Luke Hillier, Harry Hogan, Tom Asteriades, Matthew Newman, Benjamin Reeves, Oliver Morgan, [Cox] Gavin McWilliams"
84,Eights Tier 1,Final A,4,5,ULO (A),London Univ,"Ben Freeman, James Richards, Alex Steventon, Max Townley, Joshua Tolley, Patrick Boomer, Joshua Kent, Patrick Sullivan, [Cox] Rajaei Sharma"
84,Eights Tier 1,Final A,5,2,TRC (A),Thames RC,"Alex Morris, Ian Hurley, Samuel Barnes, Orlando Nixon, Skye Landon, Ben Thomas, William Moorhouse, Thomas Phelps, [Cox] Vlad Saigau"
84,Eights Tier 1,Final A,6,3,SPS (A),St Paul's Sch,"Cameron McInroy, George Dickinson, Max Deering, Leo Von Malaise, Calvin Tarczy, Douwe De Graaf, Casper Woods, Alex Langstone-Bolt, [Cox] Axel De Boissard"
84,Eights Tier 1,Final A,7,1,SAA,Star & Arrow,"Tom Wiblin, Patrick George, Harry Higginbottom, James Fox, Jonathan Cameron, Callum Johnson, Chris Ray, Bertie Woodward-Fisher, [Cox] Samuel Royston"
85,Women's Double Sculls Tier 2,Heat 1,1,6,ASL,American Sch,"Grace Bake, Sarah Brunsberg"
85,Women's Double Sculls Tier 2,Heat 1,2,4,OUW,Oxford UWBC,"Chloe Laverack, Jenna Hebert"
85,Women's Double Sculls Tier 2,Heat 1,3,1,RDU,Reading Univ,"Anna Smart, Katy Ratcliffe"
85,Women's Double Sculls Tier 2,Heat 1,4,2,ULO,London Univ,"Catherine Ador, Harriet Orr"
85,Women's Double Sculls Tier 2,Heat 1,5,3,NEW (A),Newcastle Univ,"Sofia Turner, Elvira Drummond"
85,Women's Double Sculls Tier 2,Heat 1,6,5,TWK,Twickenham RC,"Amy Grieve, Emma Feerick"
86,Women's Double Sculls Tier 2,Heat 2,1,3,OXB,Oxford Brookes,"Jessica Brown, Emily Green"
86,Women's Double Sculls Tier 2,Heat 2,2,1,SAA,Star & Arrow,"Kesiah Roe, Saskia Devereux"
86,Women's Double Sculls Tier 2,Heat 2,3,6,LER,Leicester RC,"Aoife Holohan, Louise TORT"
86,Women's Double Sculls Tier 2,Heat 2,4,5,BAU,Bath Univ,"Megan Stoker, Carlotta Broglia"
86,Women's Double Sculls Tier 2,Heat 2,5,2,WRC,Wallingford RC,"Jennifer Cullom, Margery Pepper"
86,Women's Double Sculls Tier 2,Heat 2,6,4,DUB,Durham Univ,"Emily Grant, Naomi Doye"
87,Women's SIngle Sculls Tier 3,Heat 1,1,3,WRC,Wallingford RC,Sarah Bowyer
87,Women's SIngle Sculls Tier 3,Heat 1,2,2,WAD,Wadham Coll,Stephanie Hall
87,Women's SIngle Sculls Tier 3,Heat 1,3,4,TSS,Tideway Sc Sch,Gabby Cutler
87,Women's SIngle Sculls Tier 3,Heat 1,4,5,TSS,Tideway Sc Sch,Anna Louise Norgate
87,Women's SIngle Sculls Tier 3,Heat 1,5,6,IEL,Isle of Ely RC,Imogen Magner
88,Women's SIngle Sculls Tier 3,Heat 2,1,4,BAU,Bath Univ,Steph Clutterbuck
88,Women's SIngle Sculls Tier 3,Heat 2,2,3,LER,Leicester RC,Sophie Connolly
88,Women's SIngle Sculls Tier 3,Heat 2,3,6,LEH,Lady E Holles,Elizabeth Witt
88,Women's SIngle Sculls Tier 3,Heat 2,4,5,PBD,Poplar B&D,Phoebe Ohene
88,Women's SIngle Sculls Tier 3,Heat 2,5,2,CAB,Cantabrigian RC,Georgina Plunkett
88,Women's SIngle Sculls Tier 3,Heat 2,6,1,VRC,Vesta RC,Charlotte Lennox
90,Double Sculls Tier 2,Final,1,7,MHD (A),Maidenhead RC,"Harrison Rowe, Edoardo Marshall"
90,Double Sculls Tier 2,Final,2,3,ZSN (A),Shandon BC,"Stephen O'Sullivan, Colm Hennessy"
90,Double Sculls Tier 2,Final,3,1,MHD (B),Maidenhead RC,"Lewis Howlett, Ethan O'Connor"
90,Double Sculls Tier 2,Final,4,4,VRC,Vesta RC,"Simon Woodfine, Harry Bond"
90,Double Sculls Tier 2,Final,5,5,ZCK,Cork BC,"Barry O'Flynn, Barry Connolly"
90,Double Sculls Tier 2,Final,6,6,HUN/ LDU,Huntingdon BC/ Leeds Univ,"Joshua Davies (HUN), Fergus Mitchell-Dwelly (LDU)"
90,Double Sculls Tier 2,Final,7,2,LER,Leicester RC,"Ben Pickering, Gualter Graca"
91,SIngle Sculls Tier 1,Final,1,7,NRC,Nottingham RC,Jonathan Stimpson
91,SIngle Sculls Tier 1,Final,2,4,DUB,Durham Univ,Hugo Coussens
91,SIngle Sculls Tier 1,Final,3,6,OUB,Oxford Univ,Matthew O'Leary
91,SIngle Sculls Tier 1,Final,4,3,BAU,Bath Univ,Nick Bell
91,SIngle Sculls Tier 1,Final,5,5,AGE,Agecroft RC,Matt Jenner
91,SIngle Sculls Tier 1,Final,6,2,TSS,Tideway Sc Sch,Niall Kenny
92,SIngle Sculls Tier 3,Final,1,6,AGE,Agecroft RC,Hugh Gallie
92,SIngle Sculls Tier 3,Final,2,7,GRI,Griffen BC,Daniel Boddington
92,SIngle Sculls Tier 3,Final,3,2,BAU,Bath Univ,Thomas Mapp
92,SIngle Sculls Tier 3,Final,4,3,GLU,Glasgow Univ,Matthew Mole
92,SIngle Sculls Tier 3,Final,5,5,BUR,Burway RC,Jack Barrett
92,SIngle Sculls Tier 3,Final,6,4,SCU,Strathclyde U,Ben Parsonage
93,Coxed Fours Tier 4,Final,1,3,DOW,Downing Coll,"Charles Slater, Andrew Niven, Jack Pearce, Ryan Macpherson, [Cox] Edward Bryan"
93,Coxed Fours Tier 4,Final,2,2,EXU,Exeter Univ,"Matthew Bladen, Nicholas Mathers, John Peterson, John Hunt, Sophie Wrixon, [Cox] Imogen Pike"
93,Coxed Fours Tier 4,Final,3,5,KRC (B),Kingston RC,"Simon Chaing, Edward Davies, Craig Horsford, Gregory Horsford, [Cox] Zara Scott"
93,Coxed Fours Tier 4,Final,4,6,TRC,Thames RC,"Dennis Alexander Gibson, Edward Lewis-Parry, Tom Bradshaw, Tom Roberts, [Cox] Ricardo Le"
93,Coxed Fours Tier 4,Final,5,7,PTR (B),Putney Town,"Rory Keith, James Percival, Jonathan Fisher, James Diserens, [Cox] Jade Gowan"
93,Coxed Fours Tier 4,Final,6,1,IMP (B),Imperial Coll,"Sarunas Driezis, Marwan Mousa, Yizhou Yu, Dmitrii Usynin, [Cox] Catherine Bowden"
94,Women's Coxed Fours Tier 1,Final,1,1,LEA,Lea RC,"Rebecca Minnich, Lucy Stackpool-Moore, Lizzie Chapman, Caroline Newbury, [Cox] Nicola Shepherd"
94,Women's Coxed Fours Tier 1,Final,2,5,VRC,Vesta RC,"Robyn McGregor-Ritchie, Ruth McKellar, Louisa Emkes, Jamie-Rose Larkin, [Cox] Yvonne Owens"
94,Women's Coxed Fours Tier 1,Final,3,4,IMP,Imperial Coll,"Eleanor Disney, Rachel Snow, Heather Walker, Philippa England, [Cox] Rebecca Rowe"
94,Women's Coxed Fours Tier 1,Final,4,6,PTR (B),Putney Town,"Rachel Dean, Deborah Oakley, Catriona Docherty, Sophie Bluff, [Cox] Heather Longstaff"
94,Women's Coxed Fours Tier 1,Final,5,2,WRC,Wallingford RC,"Victoria Bellamy, Katherine Butler, Leigh-Ann Bard, Samantha Burrows, [Cox] Emily Booker"
94,Women's Coxed Fours Tier 1,Final,6,3,MBC,Molesey BC,"Emma Boyns, Phoebe Bradbury, Lydia Cronin, Amber Hickson, [Cox] Ana Yong"
95,Quad Sculls Tier 1,Final,1,4,LDR,Leander Club,"Harry Leask, Rowan Law, Harry Glenister, Andrew Joel"
95,Quad Sculls Tier 1,Final,2,5,MBC,Molesey BC,"Dominic Jackson, Dave Bell, Cormac Molloy, Rory Harris"
95,Quad Sculls Tier 1,Final,3,3,EHU,Edinburgh Univ,"James Temple, Josh Armstrong, Matthew Curtis, Gavin Horsburgh"
95,Quad Sculls Tier 1,Final,4,2,OXB,Oxford Brookes,"Daniel Wilkinson, George Eden, Frederick Tison, James Mawby"
95,Quad Sculls Tier 1,Final,5,1,AGE/ CLD/ NRC/ TEE,Agecroft RC/ Clydesdale ARC/ N...,"Cameron Harrison (TEE), Matthew Haywood (NRC), Jake Brown (AGE), Jack Burns (CLD)"
95,Quad Sculls Tier 1,Final,6,6,ZCD/ ZCR/ ZUC,University Coll Dublin RC/ Com...,"Niall Beggan (ZCR), Shane O'Connell (ZCD), Andrew Goff (ZCD), Stephen O'Connor (ZUC)"
96,Coxed Fours Tier 2,Final,1,3,TRC (B),Thames RC,"Thomas Foad, Marc Cox, Thomas Portsmouth, Zack Youell, [Cox] Lesley Vowles"
96,Coxed Fours Tier 2,Final,2,1,GLU,Glasgow Univ,"Morgan Serpell, Calum Sinclair, Iain Mclaughlin, Gerard Gallagher, [Cox] Rebecca Vest"
96,Coxed Fours Tier 2,Final,3,7,ULO,London Univ,"Marshall Akita, Andrew Holm, Frederick Smart, Archie Hilder, [Cox] Harry Peters"
96,Coxed Fours Tier 2,Final,4,2,ZUC,University Coll Cork RC,"David Synnott, Steven Murphy, Julian Larkin, Thomas Higgins, Claire Synnott, [Cox] Cormac O'Connell"
96,Coxed Fours Tier 2,Final,5,6,QBC,Quintin BC,"Harrison Oliva, Paul Knoops, Samuel Gunning, Henry Robins, [Cox] Hazel Wilson"
96,Coxed Fours Tier 2,Final,6,5,CAB (A),Cantabrigian RC,"Hannes Burfeind, Sam Philpott, Guy Fiddian, James Adams, [Cox] Sara Russo"
96,Coxed Fours Tier 2,Final,7,4,WRC,Wallingford RC,"James Wright, Robert Mason, Jonathan Mentor, Robert Hines, [Cox] Poul Alexander"
97,SIngle Sculls Tier 5,Final,1,6,IEL,Isle of Ely RC,George Bourne
97,SIngle Sculls Tier 5,Final,2,5,MED,Medway Towns RC,Robert Blair
97,SIngle Sculls Tier 5,Final,3,3,SOC,Coalporters,Harry Aitchison
97,SIngle Sculls Tier 5,Final,4,2,MBC,Molesey BC,Duncan McLellan
97,SIngle Sculls Tier 5,Final,5,4,SOC,Coalporters,Zach Williams
98,Coxless Pairs Tier 1,Final,1,4,CUB,Cambridge Univ,"Aleksander Malowany, Frederick Davidson"
98,Coxless Pairs Tier 1,Final,2,5,MBC,Molesey BC,"George Stewart, Alastair Douglass"
98,Coxless Pairs Tier 1,Final,3,3,HEN,Henley RC,"Michael Nagi, David Lambourn"
98,Coxless Pairs Tier 1,Final,4,6,CFC (A),Cardiff City RC,"David George, Adrien Grubb"
99,Women's SIngle Sculls Tier 1,Final,1,2,ZKG,Killorglin Rowing Club,Monika Dukarska
99,Women's SIngle Sculls Tier 1,Final,2,7,LEE,Leeds RC,Georgina Brayshaw
99,Women's SIngle Sculls Tier 1,Final,3,1,ZCD,University Coll Dublin RC,Aileen Crowley
99,Women's SIngle Sculls Tier 1,Final,4,6,WRC,Wallingford RC,Mary Wilson
99,Women's SIngle Sculls Tier 1,Final,5,5,ZFS (A),Skibereen RC,Aoife Casey
99,Women's SIngle Sculls Tier 1,Final,6,3,IMP,Imperial Coll,Pippa Whittaker
99,Women's SIngle Sculls Tier 1,Final,7,4,TRC,Thames RC,Jordan Cole-Hossain
100,Women's Coxless Fours Tier 2,Final,1,4,OXB,Oxford Brookes,"Christie Duff, Mirella McGee, Sophia Heath, Grace Macdonald"
100,Women's Coxless Fours Tier 2,Final,2,3,EXU,Exeter Univ,"Isabel Lingard, Alex Flynn, Julia James, Kristina Stone"
100,Women's Coxless Fours Tier 2,Final,3,6,CUR,Curlew RC,"Gemma Barker, Anna Palsdottir, Sophie Leonard, Charlotte Waghorne"
100,Women's Coxless Fours Tier 2,Final,4,1,MBC,Molesey BC,"Alice Jefferies, Sasha Ellam-Brown, Katharina Clark, Lillie Reid"
101,Women's Coxed Fours Tier 3,Final,1,7,EXE (B),Exeter RC,"Kate Salmon, Rosalind West, Kirsty Barker, Rebecca Kelly, [Cox] Abby Jones"
101,Women's Coxed Fours Tier 3,Final,2,3,OXB,Oxford Brookes,"Hope Kannor, Emily Paul, Georgina Lowe, Lucy Walker, [Cox] Louise Manning"
101,Women's Coxed Fours Tier 3,Final,3,6,ZGY,Galway RC,"Claire Elwood, Fiona Murtagh, Isabella McDonald, Roisin Cahill, [Cox] Sarah Lynch"
101,Women's Coxed Fours Tier 3,Final,4,2,TRC (A),Thames RC,"Jennifer Pollard, Hayley Pullin, Rebecca Angwin, Sarah Newton, [Cox] Lauren Bates-Brownsword"
101,Women's Coxed Fours Tier 3,Final,5,1,ZDT (A),Dublin U Ladies,"Susie O' Neill, Ellen Clohessy, Maria Kennedy, Aine Kennedy, [Cox] Aoife Reid"
101,Women's Coxed Fours Tier 3,Final,6,5,ZUC,University Coll Cork RC,"Ellen Desmond, Clara Rowe-Ham, Fiona O'Keefe, Katie Nagle, [Cox] Cormac O'Connell"
101,Women's Coxed Fours Tier 3,Final,7,4,NEW,Newcastle Univ,"Christina Castledine, Charlotte Penrose, Victoria Chamberlain, Kathleen Blake, [Cox] Freya Lawrence"
102,Women's Coxless Pairs Tier 1,Final,1,3,TRC (A),Thames RC,"Natalie Hardy, Lowenna Coad"
102,Women's Coxless Pairs Tier 1,Final,2,1,ZCK,Cork BC,"Grace Collins, Lisa Dilleen"
102,Women's Coxless Pairs Tier 1,Final,3,5,CUW (B),Cambridge UWBC,"Sally O'Brien, Lucy Pike"
102,Women's Coxless Pairs Tier 1,Final,4,2,LEA (B),Lea RC,"Rachel Lund, Valentina Futoryanova"
