i,club,composite,Flag,r1,r2,r3,r4,r5,r6,r7,r8,FPos
314,Sheffield Hallam University Rowing Club,No,B,Chelsea Lucas,Hannah Fletcher,Gabriella Mundin,Katie Mulcahy,Lucia Faulkner,Millie Brice,Harriet Underdown,Beth Sadler,284
295,Worcester Rowing Club,No,B,Julie Hogarth,Emma Blakeway,Kate Mogg,Joanna Counsell,Amy Roscoe,Rachel Kyte,Stacey Hegenbarth,Natalie Vale,285
292,Cardiff University Boat Club,No,C,Annabel Sumner,Grace Howell,Hannah Farr,Holly Tyroll,Molly Caesar,Charlotte Francis,Natasha Cowie,Emma Remotti,286
284,Warwick Boat University Club,No,C,Kajal Malhotra,Lucy Young,Elizabeth Champion,Kristina Pugh,Hannah Goodlad,Kate Pilling,Jessica-Jade Williams,Ellie Smith,287
207,St Johns College (Durham) Boat Club,No,B,Lydia Newton,Francesca Boyce Cam,Sannie Matilda Cimmerbeck,Katherine Rance,Emily Simpson,Freya Herma Rawlings,Maria Southwell,Carla Briggs,288
273,Barnes Bridge Ladies Rowing Club,No,C,Samantha Reynolds,Jennifer Pearce,Penelope Cox,Justine Hope,Holly Millar,Samantha Weston,Elizabeth Saary,Leticia Gallego,289
79,Canottieri Lario G.Sinigaglia,No,B,Chiara Ascardi,Ida Varani,Stefania Butti,Nuccia Milici,Lucia Biscatti,Paola Roncoroni,Manuela Manna,Sabrina Noseda,290
77,Canottieri Lario G.Sinigaglia,No,A,Elisabetta Verga,Carla Virgis,Annalisa Tornielli,Lorena Negrini,Maura Siletto,Aurelia Wurzel,Monia Madonna,Valeria Pessina,291
288,Putney Town Rowing Club,No,D,Amelia Napier,Katie Moore,Melanie Dubois,Sarah Keane,Jude Tugman,Ophelie Billet,Sian Watters,Tania Hunt,292
268,Kings College London Boat Club,No,B,Antoinette Hage,Samaya Prakke,Ewa Puzniak,Chloe McNally,Kayleigh Best,Carmen Waller Alvarez,Natalie Day,Georgia Heaver-Wren,293
76,Kingston Grammar School Veterans Boat Club ,No,,Jackie Steinitz,Maureen Bottomley,Anna Janik,Miranda Ibbetson,Fiona Jane Betts,Elisabeth Allin-Figl,Louise Sealy,Sarah Searle,294
276,Imperial College School Of Medicine Boat Club,No,B,Imogen Patton,Charlotte Butterworth,Hanya Irfan,Amelia Dawson - Kavanagh,Preet Lalli,Esme Hotston Moore,Sophie Lai,Victoria Earl,295
300,Twickenham Rowing Club,No,C,Margaret Obenshain ,Georgia Adams ,Rachel Levene,Katherine Woolford,Catherine Chevallier,Jacinta Collins,Maisie Gordon,Karen Rigby,296
282,Vesta Rowing Club,No,E,Ella Lawrence,Lucy Cartwright,Mira Childerhouse,Nadia Burrell,Kayla Chrysler,Kinneri Saha,Florencia Huart,Jessica Laleye-Lurel,297
263,St Bartholomews & The Royal London Hospitals BC,No,B,Olivia Dupere,Caroline Olabisi,Emily Bryan,Seraina Brunner,Alice Westlake,Erica Hepple-Wilson,Nonoka Ito,Sreya Gooptu-oshea,298
208,Auriol Kensington Rowing Club,No,C,Shirley Reid,Rabia Qureshi,Katherine Couper,Carol Hughes-Hallett,Elaine Fahey,Jocelyn Tillner,Lucy Winship,Katja Trela-Larsen,299
286,Vesta Rowing Club,No,D,Megan Daly,Alexandra Hudspith,Angela Oates,Tahlia Madden,Kerry Price,Sophie Hoult,Kura Solon,Cathryn Mccarthy,300
